goal_id,employee_id,review_period,title,category,status,completion_pct
1,E001,2026-Q1,Complete Inclusive Leadership workshop,Development,On Track,83.0
2,E001,2026-Q1,Mentor 20 engineers toward promotion readiness,Leadership,On Track,75.0
3,E001,2026-Q1,Mentor 50 engineers toward promotion readiness,Leadership,On Track,70.0
4,E001,2026-Q1,Reduce sprint carryover rate below 50%,Delivery,At Risk,35.0
5,E002,2026-Q1,Deliver risk scoring feature-flag rollout,Delivery,On Track,60.0
6,E002,2026-Q1,Present tech talk on ML in production to the broader engineering org,Leadership,Not Started,3.0
7,E002,2026-Q1,Lead architecture design review for DMS integration,Leadership,On Track,82.0
8,E002,2026-Q1,Establish team engineering standards and runbook documentation,Leadership,On Track,57.0
9,E002,2026-Q1,Lead architecture design review for lead routing,Leadership,On Track,61.0
10,E003,2026-Q1,Drive cross-team alignment on shared API contract,Leadership,At Risk,20.0
11,E003,2026-Q1,Close 50 legacy technical debt items,Delivery,On Track,75.0
12,E003,2026-Q1,Finish Manager Essentials learning path,Development,At Risk,20.0
13,E003,2026-Q1,Complete remediation for 100 high-severity vulnerabilities,Technical,On Track,75.0
14,E004,2026-Q1,Deliver fraud alerts feature-flag rollout,Delivery,Complete,100.0
15,E004,2026-Q1,Complete Lean Six Sigma Yellow Belt certification,Development,At Risk,22.0
16,E004,2026-Q1,Complete data literacy course series,Development,At Risk,23.0
17,E004,2026-Q1,Complete all Q1 roadmap epics to 'Done',Delivery,Complete,100.0
18,E004,2026-Q1,Establish automated performance benchmarking pipeline,Technical,On Track,65.0
19,E005,2026-Q1,Reduce sprint carryover rate below 200%,Delivery,At Risk,33.0
20,E005,2026-Q1,Complete data migration for data warehouse,Delivery,On Track,78.0
21,E005,2026-Q1,Migrate auth service to container-based deployment,Technical,At Risk,29.0
22,E005,2026-Q1,Lead architecture design review for compliance reporting,Leadership,On Track,77.0
23,E005,2026-Q1,Migrate auth service to container-based deployment,Technical,On Track,68.0
24,E006,2026-Q1,Establish automated performance benchmarking pipeline,Technical,At Risk,36.0
25,E006,2026-Q1,Close 15 legacy technical debt items,Delivery,Complete,100.0
26,E006,2026-Q1,Implement end-to-end test coverage for risk scoring flow,Technical,On Track,75.0
27,E006,2026-Q1,Implement end-to-end test coverage for batch export flow,Technical,Not Started,0.0
28,E006,2026-Q1,Close 100 legacy technical debt items,Delivery,Not Started,4.0
29,E007,2026-Q1,Ship dealer onboarding to 100% of production traffic by end of quarter,Delivery,At Risk,42.0
30,E007,2026-Q1,Migrate auth service to container-based deployment,Technical,Complete,100.0
